#LUME VERSION, 0.54
#2848 point's captured data set in LUME at: 1/11/2020 : 4:19:13 pm
frame,x,y,z,int
3355,18515,9251.6,-46.209,4076.5
3381,19359,7214.8,39.445,3254.9
3389,17929,9991.2,-93.4,1351.4
3389,18753,8658.3,84.421,9564.8
3393,18736,8633.9,58.281,1831
3397,19456,7015.4,90.506,14375
3401,18426,9346,99.114,1647.8
3411,19353,7229.3,65.222,1145.9
3411,18262,9657,-7.2027,7307.7
3412,19360,7202.6,95.86,7126.6
3414,19330,7216.9,113.17,618.9
3424,20256,4443.9,-139.35,926.21
3425,20299,4453.7,-95.663,889.73
3448,20371,4529.6,-93.387,425.21
3449,20337,4472.8,-65.372,1014
3453,19310,7303.4,159.72,3047
3453,19311,7304.7,149.1,2953.3
3454,19298,7277.5,165.48,1511.1
3483,20240,4557.6,-125.68,7269.5
3501,18666,8785.6,52.742,4121.9
3508,19127,7889.6,71.485,985.56
3509,19109,7890.6,22.078,354.21
3510,20523,3830.6,-160.61,1012.2
3511,20531,3807.3,-230.77,1209.9
3512,20456,3745.3,-330.17,1762.7
3523,18207,9796.9,32.252,1226
3541,20197,5169,-43.642,1540.4
3542,20204,5151.6,4.6877,6392.5
3544,20545,3886.7,-139.72,1079.3
3550,19459,6944.2,99.435,2100.3
3569,18395,9374.7,-14.069,1039.3
3570,18386,9396.2,28.765,13130
3577,18728,8675.2,71.342,1794.2
3580,20242,4560.6,-87.573,1129.3
3606,19753,5955.5,171.13,841.91
3619,19762,6063.1,178.57,1441.3
3621,19778,6038.8,156.97,878.37
3622,19758,6031.7,161.08,1385.4
3623,19228,7423.9,105.13,607.53
3626,17888,10083,-68.774,390.76
3629,19759,6022.8,134.95,1400.4
3630,19772,6009.1,172.91,896.03
3647,19732,6066.3,7.8937,485.27
3649,18589,8891.3,61.022,283
3650,18616,8854,9.0131,631.93
3664,19391,6984.9,104.67,955.99
3665,19406,6969.8,102.62,2185.5
3670,20325,4465.2,-91.629,1274.6
3694,18830,8505.5,-25.923,1400.1
3695,18801,8533.6,61.671,4701.3
3704,19366,7077.5,49.735,772.53
3722,19987,5431.6,-21.739,4716.1
3725,19984,5462.5,-12.637,179.74
3728,19979,5551.7,73.472,5004.6
3754,19992,5508.8,45.664,9635
3756,19376,7087.1,43.261,397.86
3757,19572,6637.1,115.74,4265.6
3761,19779,6082.9,72.4,328.31
3762,19771,6017.4,138.14,1205.6
3766,19774,6041.2,133.91,2173
3768,19750,6038.2,180.69,1141.9
3781,20265,4626,-75.67,3080.2
3785,19848,6158.2,35.618,5281
3795,19532,6646.1,125.26,1933.2
3799,18073,10058,64.007,1396.4
3813,19868,5599.7,25.008,5207.8
3825,18366,9473.5,5.003,565.41
3826,19311,7188.3,70.423,10504
3831,19251,7213.8,74.793,575.11
3844,19619,6538.4,49.387,2601.3
3847,18716,8671.6,71.857,585.19
3848,18751,8620.8,113.02,2387.4
3849,18787,8582.2,73.124,2621.5
3850,18773,8546.1,20.866,571.67
3862,19891,5603.9,4.0177,4460.3
3873,18229,9622.7,106.24,626.99
3874,18265,9611,32.061,2892.4
3884,19934,5118,-45.333,3113.9
3888,20010,5432.6,48.09,2839.2
3889,20005,5475,69.417,2676.6
3890,20020,5513,57.354,3983.2
3929,18684,8717.9,-39.197,494.44
3930,19042,7999.5,110.94,3636.6
3933,19029,8010.2,95.335,1978.9
3942,18034,10067,-32.591,718.76
3943,18065,10037,9.4019,1760.2
3952,18681,8715,82.526,468.69
3953,20059,5315.5,1.514,9276.2
3957,20066,5320.7,37.761,1101.5
3966,19731,6115.3,112.38,458.1
3976,18346,9422.4,25.824,9701.7
3985,19131,7706.9,123.73,12004
3988,18430,9245.2,116.55,1017
3989,19120,7696.1,79.962,1254.7
3989,18724,8665.5,40.246,4410.5
4009,17995,10251,-3.8082,4916
4010,18294,9573.8,21.712,1308.1
4016,19841,5622.6,80.157,1215.1
4017,19824,5604.5,20.485,1250
4029,19251,7257.5,144.99,1720.3
4030,19195,7295.2,156.99,507.3
4032,20740,3523,-232.83,570.21
4033,20757,3502.2,-261.77,1223.9
4034,20703,3484.2,-240.33,1260.7
4035,20724,3479.2,-291.04,1188.4
4036,20743,3494.8,-258.64,2264.7
4045,20704,3495.2,-288.83,1291.9
4046,20758,3495.5,-269.29,2454.8
4048,20729,3498.9,-249.78,2290.6
4050,19041,8055.1,93.435,4676.5
4050,20476,3999.8,-192.12,2931.1
4072,20122,5146.7,-40.103,7293.7
4074,20138,5126.1,10.37,1892.8
4074,19174,7614.8,60.092,5084.2
