x,y,z
22898,11065,-357.39
22008,11017,-328.62
21623,10657,-393.84
22133,10829,206.89
23071,10811,-147.23
21992,10915,-382.9
21228,10253,-307.85
22328,11121,192.27
21466,10779,-286.52
21297,10272,-226.39
21734,10450,-240.15
21061,10667,-113.65
22700,10768,196.56
22718,10765,233.76
21360,10734,-362.69
22694,10754,206.95
22732,10765,229.79
21547,10326,80.859
21046,10479,259.99
22541,11256,-22.863
23051,11136,-130.39
21362,10561,-330.62
23038,11184,-162.42
23656,11093,-207.84
23180,10967,-146.31
23242,11030,-120.5
22027,11126,137.43
22331,10581,-3.0683
22350,10603,-1.7446
22349,11169,-280.97
21406,10448,218.98
21853,10614,23.222
22640,10839,225.93
22077,11100,108.99
22047,11058,65.2
24565,10897,-342.63
24598,10911,-220.03
21557,10568,-373.47
21826,10526,-302.1
21578,10387,-151.93
21449,10492,300.46
24720,10914,-416.62
23423,11105,-101.11
25703,10470,-465.2
22215,10576,-187.08
22302,10605,-278.6
22473,11031,-294.16
24728,10824,-171.39
25673,10437,-431.34
21693,10626,-370.41
22973,10946,216.56
22550,10825,-338.55
22181,10853,188.38
21312,10302,-161.23
22530,10847,-391.7
22761,10770,145.3
21039,10629,-88.103
21756,10481,151.43
24152,11068,-400.11
24147,11079,-398.92
21263,10342,-322.38
22750,11032,-344.73
22320,10618,104.74
20919,10175,-433.5
20877,10556,26.645
22194,11191,70.769
20886,10480,22.713
20854,10505,41.784
21719,10430,-211.99
21800,10506,-242.5
20886,10578,-20.401
20939,10575,-49.856
22266,10596,-304.15
22318,10617,2.2484
21148,10656,-316.82
22562,10848,-382.62
22569,10840,-355.06
21000,10556,122.42
21768,10642,303.27
24136,11033,-372.21
20885,10166,94.483
25097,10703,-269.88
23917,11001,-331.39
22609,10955,-423.44
24330,10986,-310.21
22215,10881,311.78
20805,10261,-326.94
21354,10332,-217.38
22682,10752,-299.22
21139,10203,-24.105
21762,11106,-350.63
21067,10332,-333.98
21073,10340,-402.06
21002,10128,80.37
22423,10790,281.54
20699,10121,-26.682
22147,11131,-188.52
21066,10133,-112.33
23243,11093,-51.166
21332,10429,147.7
21709,11091,-403.71
24794,10840,-300.06
21332,10832,-254.9
21202,10206,-165.44
20875,10075,33.307
21602,10978,-160.58
20790,10139,-229.37
20845,10150,-148.45
21636,10333,93.294
20770,10163,-184.4
22707,10792,208.72
23056,10825,-58.977
21127,10666,115.71
23091,10797,-140.46
21225,10220,-20.004
22749,11021,-399.86
22747,11036,-380.34
22757,11031,-406.7
22752,11124,-315.94
22763,11033,-369.48
22757,11023,-385.54
22758,11027,-397.42
22778,11043,-389.02
22760,11054,-409.12
22753,11028,-425.83
22762,11040,-401.77
22753,11022,-386.18
22753,11045,-400.13
22741,11030,-360.1
25708,10525,-321.36
22757,11013,-428.95
25775,10480,-343.11
22764,11048,-435.1
25759,10482,-382.53
22767,11024,-413.94
25726,10538,-344.98
22739,11014,-385.41
22752,11034,-420.99
22724,11013,-456.24
22723,11022,-404.9
21421,10665,139.57
21031,10385,215.77
22347,10734,158.19
23794,10986,-292.06
21968,10962,-328.89
22868,11029,-441.48
24988,10749,-266.23
23039,11114,-257.99
22846,11167,-310.33
22856,11166,-323.78
21307,10269,11.242
21540,10870,-171.66
22417,10624,112.89
21183,10525,-332.47
20751,10051,-441.29
21611,10658,325.14
22220,10585,-21.803
22127,10638,181.21
22246,10569,-80.768
23129,11014,170.53
22642,11212,-36.146
25668,10482,-424.61
25732,10519,-373.1
25714,10493,-368.36
25753,10503,-326.44
25732,10477,-333.14
25704,10457,-366.81
21777,10581,-306.45
25699,10430,-454.63
20787,10374,-257.37
25688,10444,-448
